0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,label
0.37746456,0.00067668024,6.151639e-05,0.0,0.5909264,0.03832471,0.00043061472,0.0,0.3783258,0.02196135,0.042815406,0.034326144,0.04853643,0.24151334,0.23031735,0.010088688,0.37248173,0.00664377,0.0146409,0.035494957,0.05345774,0.1648024,0.25498542,0.10537757,adonis
0.4721718,0.006144999,0.0037863126,0.002482828,0.1760325,0.34517515,0.010303736,0.0008689898,0.5379047,0.123520695,0.13624519,0.2027229,0.013531413,0.0009310605,6.20707e-05,0.0020483332,0.4550403,0.026255906,0.07237443,0.087581754,0.0815609,0.11762398,0.1410867,0.03544237,adonis
0.4701322,0.032182533,0.022539392,0.013767619,0.40042275,0.011095422,0.0012199156,0.00040663852,0.5204392,0.04926135,0.187228,0.17578402,0.01336098,0.0006970946,0.00023236487,0.00476348,0.46077952,0.0070871282,0.016033176,0.031601623,0.041767586,0.05634848,0.19756822,0.14058074,adonis
0.5261955,0.026744582,0.001804849,0.001804849,0.32038805,0.017501567,0.00076569355,0.0008750783,0.53336024,0.019306416,0.021986343,0.050098233,0.1164948,0.11966696,0.0237365,0.011430711,0.50814706,0.0046488536,0.0137824835,0.021165958,0.03079182,0.05026231,0.1833836,0.083898135,adonis
0.45657954,0.00324359,0.0012384617,0.00064871804,0.44855902,0.05172052,0.0030076925,0.0012384617,0.49237698,0.03591539,0.044938467,0.20540771,0.1552795,0.027364105,0.0011794873,0.0037743594,0.4419539,0.007253847,0.019520516,0.048476927,0.09447693,0.24197182,0.09435898,0.018223079,adonis
0.46947983,0.010250651,0.00882695,0.008485261,0.41486663,0.008770001,0.0064920792,0.0058656503,0.51287425,0.04083176,0.04145819,0.27033246,0.06292761,0.0017084419,5.694806e-05,0.002847403,0.446245,0.012186885,0.025398836,0.036218967,0.056948062,0.15797393,0.18428393,0.013781431,adonis
0.4133185,0.002187192,0.0018834153,0.0024909684,0.5660574,0.008566502,0.000729064,0.000182266,0.43749914,0.05255336,0.026732346,0.07916419,0.18542527,0.13372248,0.06288177,0.01743678,0.39624625,0.006743842,0.017072247,0.032564856,0.049758617,0.094170764,0.2285008,0.17035794,adonis
0.4478137,0.006882076,0.018252462,0.022082487,0.48132643,0.003411116,0.0006582856,5.984414e-05,0.4750428,0.041711364,0.021484047,0.033811938,0.13393119,0.21316482,0.05595427,0.0053859726,0.44158992,0.009455374,0.019688722,0.037103366,0.06906014,0.20849699,0.1576893,0.03740259,adonis
0.6574193,0.028031513,0.009222938,0.020414818,0.044145748,0.021813802,0.015233392,0.052643288,0.60161537,0.14513174,0.06570048,0.018394062,0.0066840393,0.004248769,0.0023316417,0.004818726,0.35057527,0.018394062,0.029378684,0.058809184,0.109587155,0.15305932,0.09616727,0.03295387,adonis
0.48748764,0.020860044,0.0063739023,0.0026075055,0.35073847,0.06906992,0.0070112925,0.005215011,0.52445626,0.026712446,0.025785333,0.068316646,0.24852425,0.05151272,0.0011009468,0.002955173,0.4728856,0.011183301,0.016340367,0.019469375,0.033723738,0.07503821,0.21462667,0.1060965,adonis
0.5669807,0.0466117,0.0026933646,0.002198665,0.12636827,0.14934433,0.003243031,0.0031330977,0.55972517,0.23844522,0.06475069,0.017369453,0.010718492,0.0029132313,0.0006595995,0.005991362,0.47100902,0.012422457,0.024954848,0.04040047,0.05051433,0.09349823,0.15918335,0.048590496,adonis
0.4767379,0.028033162,0.016483268,0.009576546,0.4043624,0.013349125,0.0017992299,0.00058039674,0.52682614,0.03888658,0.10133727,0.1798069,0.06970565,0.024144504,0.0063263243,0.0038886582,0.4619958,0.0077773165,0.019211132,0.029368075,0.03238614,0.054325134,0.2059828,0.13987562,adonis
